Campus Divisions,FY18 Est. Expenses,Category
L&S Core,9353000,Letters and Sciences
L&S Bio Science,53130000,Letters and Sciences
L&S Humanities,91248000,Letters and Sciences
L&S Math & Phys. Sci.,69569000,Letters and Sciences
L&S Social Sci.,115247000,Letters and Sciences
L&S Undergrad,14529000,Letters and Sciences
College of Environ. Design,24351000,Colleges
College of Nat. Resources,47344000,Colleges
College of Chem.,38453000,Colleges
College of Engineering,145264000,Colleges
Boalt Law,90022000,Schools
Public Policy,15733000,Schools
Haas School of Business,117387000,Schools
Optometry,25757000,Schools
Public Health,37539000,Schools
Education,19287000,Schools
Social Welfare,7869000,Schools
Journalism,8265000,Schools
Information,20121000,Schools
