County,Rent
Kern County,1021
Butte County,1123
Imperial County,925
Fresno County,1241
Kings County,1161
Los Angeles County,1945
Orange County,2386
Madera County,1196
Merced County,1059
Stanislaus County,1215
Napa County,1970
Ventura County,1891
Shasta County,1092
Riverside County,1663
San Bernardino County,1663
El Dorado County,1661
Placer County,1661
Sacramento County,1661
Yolo County,1666
Monterey County,2478
San Diego County,2248
Alameda County,2008
Contra Costa County,2008
Marin County,2592
San Francisco County,2592
San Mateo County,2592
Santa Clara County,2615
San Benito County,1755
San Luis Obispo County,1648
Santa Cruz County,2967
Santa Barbara County,2469
Sonoma County,1743
San Joaquin County,1216
Solano County,1802
Tulare County,1046
Sutter County,1214
Yuba County,1214
Alpine County,991
Amador County,1195
Calaveras County,1137
Colusa County,882
Del Norte County,842
Glenn County,823
Humboldt County,1026
Inyo County,1010
Lake County,1037
Lassen County,805
Mariposa County,951
Mendocino County,1197
Modoc County,722
Mono County,1096
Nevada County,1334
Plumas County,887
Sierra County,991
Siskiyou County,879
Tehama County,913
Trinity County,747
Tuolumne County,1001
